Cell line	Tissue Supergroup	Metastatic Tissue	Primary Tissue	Tissue Diagnosis	Age	Age Unit	Gender	Ethnicity	SNP Cluster Number	In Final Analysis Set	Growth Media	Freeze Media	CCLE ID	Sanger ID
TCC-PAN2	Pancreas	NA	Pancreas	Carcinoma	68	Years	Female	Japanese	312	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	TCC-PAN2	NA
THP-1	Lymphoid	NA	Blood	Leukemia Acute Myelogenic	1	Years	Male	NA	23	TRUE	RPMI-1640 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	THP-1	THP-1
TK	Lymphoid	NA	Blood	Lymphoma	NA	NA	NA	NA	449	TRUE	#N/A	#N/A	NA	NA
TK-10	Kidney	NA	Kidney	Carcinoma	46	Years	Male	NA	163	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	TK10
TMD8	Lymphoid	NA	Blood	Lymphoma Diffuse Large B Cell	62	Years	Male	NA	448	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
Toledo	Lymphoid	Effusion, Pleural	Lymph Node	Lymphoma B-cell	NA	NA	Female	Caucasian	447	TRUE	RPMI-1640 10% HI FBS, 2mM Glutamine	complete growth media 10% DMSO	Toledo	NA
TOV-112D	Ovary	NA	Ovary	Adenocarcinoma Endometrioid	42	Years	Female	Caucasian	428	TRUE	RPMI-1640 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	TOV-112D	NA
TYK-nu	Ovary	NA	Ovary	Carcinoma	NA	NA	NA	NA	41	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	TYK-nu	TYK-nu
TYK-nu.CP-r	Ovary	NA	Ovary	Carcinoma	NA	NA	NA	NA	41	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
U-2 OS	Sarcomatoid	NA	Bone	Osteosarcoma	15	Years	Female	Caucasian	391	TRUE	DMEM:F12, 10% FBS, 2mM Glutamine	Complete growth medium, 90%; DMSO, 10%	U-2 OS	U-2-OS
U-2932	Lymphoid	NA	Blood	Lymphoma B-cell	NA	NA	NA	NA	445	TRUE	#N/A	#N/A	NA	NA
U-698-M	Lymphoid	NA	Lymph Node	Lymphoma B-cell	7	Years	Male	NA	446	TRUE	RPMI-1640 10% HI FBS, 2mM Glutamine	RPMI-1640, 20% HI FBS, 10% DMSO	NA	U-698-M
U-937	Lymphoid	NA	Blood	Lymphoma Diffuse Large B Cell	37	Years	Male	Caucasian	304	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	U-937	NA
U266B1	Lymphoid	NA	Blood	Multiple Myeloma	NA	NA	NA	NA	347	TRUE	RPMI-1640, 10% Heat inactivated FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	U266B1	U-266
UACC-257	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	395	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	UACC-257	UACC-257
UACC-812	Breast	NA	Breast	Adenocarcinoma Ductal	43	Years	Female	NA	531	TRUE	L-15, 20% FBS, 2mM L-Glutamine, 20ng/ml EGF	Complete growth medium, 90%; DMSO, 10%	UACC-812	UACC-812
UACC-893	Breast	NA	Breast	Adenocarcinoma Ductal	57	Years	Female	Caucasian	NA	TRUE	Leibovitz's L-15, 20% FBS, 2mM L-glutamine, 10ng/ml EGF	Complete growth medium, 90%; DMSO, 10%	UACC-893	NA
UCSD-242l	Skin	NA	Skin	Melanoma	NA	NA	NA	NA	118	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
UKE-1	Lymphoid	NA	Blood	Leukemia	NA	NA	NA	NA	58	TRUE	RPMI-1640, 10% Heat Inactivated FBS, 2mM L-Gln	Complete growth medium, 90%; DMSO, 10%	NA	NA
UM-UC-1	Urinary Bladder	NA	Urinary Bladder	Carcinoma Transitional Cell	NA	NA	NA	NA	216	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	UM-UC-1	NA
UM-UC-3	Urinary Bladder	NA	Urinary Bladder	Carcinoma Transitional Cell	NA	NA	Male	NA	215	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	UM-UC-3	UM-UC-3
UMC-11	Lung	NA	Lung	Tumor Carcinoid	NA	NA	NA	NA	57	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	UMC-11
VMRC-LCD	Lung	NA	Lung	Adenocarcinoma	NA	NA	Male	NA	337	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	VMRC-LCD	NA
WiDr	Colo-Rectal	NA	Colon	Adenocarcinoma	NA	NA	NA	NA	172	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
WM-115	Skin	NA	Skin	Melanoma	58	Years	Female	NA	221	TRUE	EMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	WM-115	WM-115
WM-266-4	Skin	NA	Skin	Melanoma	58	Years	Female	NA	221	FALSE	EMEM, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	WM-266-4	NA
WSU-DLCL2	Lymphoid	NA	Lymph Node	Lymphoma B-cell	41	Years	Male	Caucasian	444	TRUE	RPMI-1640; 10% HI FBS; 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	WSU-DLCL2	NA
WSU-FSCCL	Lymphoid	NA	Lymph Node	Lymphoma B-cell	37	Years	NA	Caucasian	443	TRUE	RPMI-1640, 10% HI FBS, 2mM Glutamine	RPMI-1640, 20% HI FBS, 10% DMSO	NA	NA
WSU-NHL	Lymphoid	NA	Blood	Lymphoma B-cell	NA	NA	NA	NA	442	TRUE	RPMI-1640, 10% HI FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	WSU-NHL
YAPC	Pancreas	NA	Pancreas	Carcinoma	43	Years	Male	Japanese	311	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	YAPC	YAPC
YMB-1	Breast	NA	Breast	Carcinoma	55	Years	Female	NA	101	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	YMB-1	NA
YMB-1-E	Breast	NA	Breast	Carcinoma	55	Years	Female	NA	101	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	NA	NA
ZR-75-1	Breast	NA	Breast	Adenocarcinoma Ductal	63	Years	NA	Caucasian	101	FALSE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	ZR-75-1	NA
ZR-75-30	Breast	Ascites	Breast	Adenocarcinoma Ductal	47	Years	Female	African	530	TRUE	RPMI-1640, 10% FBS, 2mM L-Glutamine	Complete growth medium, 90%; DMSO, 10%	ZR-75-30	ZR-75-30
